取引ID,日時,商品ID,商品名,単価,数量,小計,支払い方法
TX2026000043,2026-03-09 22:31:00,P008,炊飯器,"¥25,000",1,"¥25,000",クレジットカード
TX2026000044,2026-02-02 08:14:00,P003,洗濯機,"¥98,000",1,"¥98,000",電子マネー
TX2026000062,2026-03-25 01:21:00,P008,炊飯器,"¥25,000",3,"¥75,000",クレジットカード
TX2026000085,2026-03-16 09:31:00,P010,ドライヤー,"¥18,000",2,"¥36,000",QR決済
TX2026000136,2026-03-30 02:57:00,P006,タブレット,"¥60,000",1,"¥60,000",電子マネー
TX2026000149,2026-03-06 16:11:00,P005,スマートフォン,"¥90,000",1,"¥90,000",電子マネー
TX2026000160,2026-01-27 15:10:00,P005,スマートフォン,"¥90,000",1,"¥90,000",電子マネー
TX2026000204,2026-02-01 11:49:00,P007,ワイヤレスイヤホン,"¥15,000",3,"¥45,000",QR決済
TX2026000220,2026-01-21 08:36:00,P010,ドライヤー,"¥18,000",3,"¥54,000",QR決済
TX2026000226,2026-03-28 10:17:00,P003,洗濯機,"¥98,000",1,"¥98,000",クレジットカード
TX2026000284,2026-03-28 03:49:00,P004,ノートPC,"¥130,000",1,"¥130,000",QR決済
TX2026000293,2026-02-18 01:42:00,P010,ドライヤー,"¥18,000",1,"¥18,000",電子マネー
